price,bed,bath,carport,surface_area(m2),building_area(m2),location
1520000000.0,4,2,1,99.0,150.0,3
350000000.0,2,1,1,104.0,50.0,3
850000000.0,3,2,1,114.0,110.0,3
895000000.0,3,2,2,91.0,76.0,4
1200000000.0,3,2,1,115.0,100.0,4
1270000000.0,3,2,1,130.0,100.0,3
675000000.0,2,1,1,85.0,45.0,0
817000000.0,2,2,1,103.0,76.0,3
4500000000.0,20,15,3,235.0,370.0,3
817000000.0,2,2,1,103.0,76.0,3
765000000.0,2,1,1,101.0,60.0,4
675000000.0,2,1,1,84.0,50.0,3
2200000000.0,4,4,2,150.0,235.0,3
725000000.0,3,2,1,100.0,70.0,4
800000000.0,3,2,1,120.0,80.0,3
884000000.0,4,2,2,104.0,60.0,4
1250000000.0,2,2,2,125.0,150.0,3
500000000.0,2,2,1,80.0,55.0,3
500000000.0,3,2,1,108.0,70.0,3
3900000000.0,14,14,3,502.0,473.0,3
690000000.0,2,1,1,87.0,45.0,4
875000000.0,3,2,2,112.0,95.0,4
756000000.0,3,1,2,104.0,60.0,3
4500000000.0,5,2,7,503.0,300.0,3
1300000000.0,5,6,1,320.0,142.0,3
850000000.0,3,2,2,80.0,85.0,0
1290000000.0,4,3,1,99.0,105.0,0
2700000000.0,3,2,2,267.0,180.0,3
6500000000.0,5,4,1,778.0,500.0,3
1780000000.0,4,3,2,118.0,160.0,3
1250000000.0,3,3,1,105.0,160.0,3
575000000.0,2,1,1,108.0,80.0,3
8900000000.0,17,17,7,550.0,435.0,3
575000000.0,3,2,1,101.0,80.0,3
785000000.0,3,2,1,115.0,60.0,3
2450000000.0,8,5,2,150.0,200.0,3
1850000000.0,4,3,1,147.0,120.0,4
900000000.0,3,3,1,98.0,100.0,0
750000000.0,3,2,2,130.0,60.0,3
2200000000.0,5,6,3,495.0,300.0,4
2800000000.0,7,3,2,140.0,195.0,3
2800000000.0,4,4,2,154.0,230.0,3
1500000000.0,2,1,1,120.0,90.0,3
275000000.0,2,1,1,70.0,36.0,0
9987999999.999989,9,9,3,429.0,961.5999999999917,4
6000000000.0,6,6,1,688.0,384.0,3
5200000000.0,12,12,3,525.0,500.0,4
3100000000.0,7,4,2,225.0,300.0,3
375000000.0,2,1,1,82.0,46.0,0
2100000000.0,3,3,1,139.0,100.0,3
2000000000.0,4,2,2,105.0,140.0,4
645000000.0,3,1,2,93.0,60.0,0
4200000000.0,4,4,8,564.0,190.0,3
1280000000.0,3,3,2,134.0,85.0,3
270000000.0,2,1,1,61.0,30.0,3
3100000000.0,7,4,2,225.0,300.0,3
1780000000.0,3,3,2,119.0,114.0,3
598000000.0,2,1,1,90.0,40.0,3
645000000.0,3,1,1,93.0,60.0,0
4200000000.0,4,4,8,564.0,190.0,3
9987999999.999989,9,9,3,429.0,961.5999999999917,4
1820000000.0,3,2,1,140.0,158.0,3
2900000000.0,2,3,2,380.0,200.0,3
499000000.0,2,1,1,120.0,36.0,3
4250000000.0,3,3,6,425.0,150.0,4
592000000.0,2,1,1,91.0,50.0,3
985000000.0,2,2,1,125.0,132.0,3
890000000.0,3,2,1,85.0,70.0,0
5000000000.0,8,7,6,999.7599999999998,500.0,3
1250000000.0,2,1,1,130.0,70.0,3
790000000.0,3,2,1,75.0,70.0,0
4200000000.0,5,4,2,230.0,208.0,3
600000000.0,3,1,1,167.0,130.0,3
6900000000.0,5,3,3,843.0,450.0,3
